%Vernier Format 2
%tyson-doublevolume-ptbr.cmbl 4/21/2005 18:29:17 .
%Latest
%Time	Signal 1	Signal 2
%t	Signal 1	Signal 2
%s	mV	mV
%
117	1113.10215713	260.622895629
117.25	1112.53569204	260.622895629
117.5	1111.96922695	260.622895629
117.75	1111.96922695	260.622895629
118	1111.40276187	260.622895629
118.25	1110.26983169	260.622895629
118.5	1110.83629678	260.059990404
118.75	1111.40276187	260.622895629
119	1110.83629678	260.059990404
119.25	1111.40276187	260.059990404
119.5	1110.26983169	260.059990404
119.75	1110.26983169	260.059990404
120	1109.70336661	260.059990404
120.25	1109.70336661	260.059990404
120.5	1109.70336661	260.059990404
120.75	1108.57043643	259.49708518
121	1108.57043643	260.059990404
121.25	1108.57043643	259.49708518
121.5	1108.00397135	259.49708518
121.75	1107.43750626	259.49708518
122	1108.00397135	260.622895629
122.25	1107.43750626	258.371274732
122.5	1106.87104117	259.49708518
122.75	1106.87104117	259.49708518
123	1106.30457609	259.49708518
123.25	1106.30457609	259.49708518
123.5	1105.17164591	259.49708518
123.75	1105.738111	258.934179956
124	1105.738111	259.49708518
124.25	1105.17164591	258.934179956
124.5	1104.60518083	258.934179956
124.75	1104.60518083	258.934179956
125	1104.03871574	258.934179956
125.25	1104.03871574	258.934179956
125.5	1103.47225065	258.934179956
125.75	1103.47225065	258.934179956
126	1102.90578557	258.934179956
126.25	1102.90578557	258.371274732
126.5	1102.33932048	258.934179956
126.75	1102.33932048	258.934179956
127	1101.77285539	259.49708518
127.25	1101.20639031	258.934179956
127.5	1101.20639031	258.371274732
127.75	1101.20639031	258.371274732
128	1100.07346013	257.245464283
128.25	1100.63992522	258.371274732
128.5	1099.50699505	257.808369507
128.75	1100.07346013	257.808369507
129	1099.50699505	257.808369507
129.25	1098.94052996	257.808369507
129.5	1098.94052996	257.808369507
129.75	1098.94052996	257.808369507
130	1098.37406487	257.808369507
130.25	1098.37406487	257.808369507
130.5	1098.37406487	257.808369507
130.75	1096.67466961	257.245464283
131	1096.67466961	257.245464283
131.25	1096.67466961	257.245464283
131.5	1097.2411347	257.245464283
131.75	1095.54173944	257.245464283
132	1096.10820453	256.682559059
132.25	1096.10820453	257.245464283
132.5	1095.54173944	257.245464283
132.75	1094.97527435	257.245464283
133	1094.97527435	257.245464283
133.25	1094.40880927	256.682559059
133.5	1093.84234418	257.245464283
133.75	1093.27587909	257.245464283
134	1092.70941401	257.245464283
134.25	1092.70941401	257.245464283
134.5	1092.70941401	256.682559059
134.75	1092.14294892	256.682559059
135	1092.14294892	256.682559059
135.25	1090.44355366	256.682559059
135.5	1091.57648383	256.682559059
135.75	1091.01001875	256.682559059
136	1090.44355366	256.682559059
136.25	1089.87708857	256.119653835
136.5	1089.87708857	255.55674861
136.75	1089.31062349	256.119653835
137	1089.87708857	256.119653835
137.25	1089.31062349	254.993843386
